reclat,reclon,
 -78.82308,42.95000,
 -78.82308,42.95000,
 -78.82309,42.95000,
 -78.82309,42.95001,
 -78.82310,42.95001,
 -78.82310,42.95001,
 -78.82311,42.95001,
 -78.82311,42.95002,
 -78.82311,42.95002,
 -78.82312,42.95002,
 -78.82312,42.95003,
 -78.82313,42.95003,
 -78.82313,42.95003,
 -78.82314,42.95003,
 -78.82314,42.95003,
 -78.82314,42.95004,
 -78.82315,42.95004,
 -78.82315,42.95004,
 -78.82316,42.95004,
 -78.82316,42.95004,
 -78.82317,42.95005,
 -78.82317,42.95005,
 -78.82318,42.95005,
 -78.82318,42.95005,
 -78.82319,42.95006,
 -78.82319,42.95006,
 -78.82319,42.95006,
 -78.82320,42.95006,
 -78.82320,42.95006,
 -78.82321,42.95007,
 -78.82321,42.95007,
 -78.82321,42.95007,
 -78.82322,42.95007,
 -78.82322,42.95007,
 -78.82322,42.95008,
 -78.82323,42.95008,
 -78.82324,42.95008,
 -78.82324,42.95009,
 -78.82325,42.95009,
 -78.82325,42.95009,
 -78.82326,42.95010,
 -78.82326,42.95010,
 -78.82327,42.95011,
 -78.82328,42.95011,
 -78.82328,42.95011,
 -78.82329,42.95011,
 -78.82329,42.95012,
 -78.82330,42.95012,
 -78.82330,42.95012,
 -78.82331,42.95012,
 -78.82331,42.95013,
 -78.82331,42.95013,
 -78.82332,42.95013,
 -78.82332,42.95013,
 -78.82333,42.95014,
 -78.82333,42.95014,
 -78.82334,42.95014,
 -78.82334,42.95014,
 -78.82335,42.95015,
 -78.82335,42.95015,
 -78.82336,42.95016,
 -78.82336,42.95016,
 -78.82337,42.95016,
 -78.82337,42.95016,
 -78.82338,42.95017,
 -78.82338,42.95017,
 -78.82339,42.95017,
 -78.82339,42.95017,
 -78.82340,42.95018,
 -78.82340,42.95018,
 -78.82340,42.95018,
 -78.82341,42.95018,
 -78.82341,42.95019,
 -78.82341,42.95019,
 -78.82342,42.95019,
 -78.82342,42.95019,
 -78.82343,42.95020,
 -78.82343,42.95020,
 -78.82344,42.95020,
 -78.82344,42.95020,
 -78.82344,42.95020,
 -78.82345,42.95021,
 -78.82346,42.95021,
