reclat,reclon,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
-78.82262185,42.95098204,0,0,50,209.096588,2020/10/30 16:35:50+00,,,,,,,,,,,,,,,,,,,,,
-78.82264526,42.95097367,0,0,51,209.282553,2020/10/30 16:35:51+00,,,,,,,,,,,,,,,,,,,,,
-78.82267874,42.95095481,0,0,52,209.0162688,2020/10/30 16:35:53+00,,,,,,,,,,,,,,,,,,,,,
-78.82271184,42.95093517,0,0,53,208.1357539,2020/10/30 16:35:55+00,,,,,,,,,,,,,,,,,,,,,
-78.82273397,42.9509102,0,0,54,207.1368138,2020/10/30 16:35:57+00,,,,,,,,,,,,,,,,,,,,,
-78.82276456,42.95092381,0,0,55,207.2571288,2020/10/30 16:36:00+00,,,,,,,,,,,,,,,,,,,,,
-78.82277916,42.95094061,0,0,56,207.1287215,2020/10/30 16:36:01+00,,,,,,,,,,,,,,,,,,,,,
-78.82275683,42.95095904,0,0,57,208.7443036,2020/10/30 16:36:03+00,,,,,,,,,,,,,,,,,,,,,
-78.82273258,42.95096942,0,0,58,209.212254,2020/10/30 16:36:05+00,,,,,,,,,,,,,,,,,,,,,
-78.82270045,42.9509601,0,0,59,208.0260475,2020/10/30 16:36:07+00,,,,,,,,,,,,,,,,,,,,,
-78.82270509,42.95093465,0,0,60,207.1589282,2020/10/30 16:36:09+00,,,,,,,,,,,,,,,,,,,,,
-78.82273435,42.95094785,0,0,61,206.7817455,2020/10/30 16:36:11+00,,,,,,,,,,,,,,,,,,,,,
-78.82275809,42.95095923,0,0,62,207.1343365,2020/10/30 16:36:12+00,,,,,,,,,,,,,,,,,,,,,
-78.82275494,42.95098162,0,0,63,207.7116705,2020/10/30 16:36:14+00,,,,,,,,,,,,,,,,,,,,,
-78.82272849,42.95099033,0,0,64,208.7323451,2020/10/30 16:36:16+00,,,,,,,,,,,,,,,,,,,,,
-78.82268982,42.95098522,0,0,65,208.51283,2020/10/30 16:36:18+00,,,,,,,,,,,,,,,,,,,,,
-78.82270265,42.95095923,0,0,66,207.4499362,2020/10/30 16:36:20+00,,,,,,,,,,,,,,,,,,,,,
-78.82273399,42.95097193,0,0,67,206.7008863,2020/10/30 16:36:22+00,,,,,,,,,,,,,,,,,,,,,
-78.82275915,42.95099453,0,0,68,207.1330044,2020/10/30 16:36:24+00,,,,,,,,,,,,,,,,,,,,,
-78.82273833,42.95100776,0,0,69,208.2687169,2020/10/30 16:36:26+00,,,,,,,,,,,,,,,,,,,,,
-78.8227043,42.95100311,0,0,70,208.7998661,2020/10/30 16:36:28+00,,,,,,,,,,,,,,,,,,,,,
-78.82269743,42.95098573,0,0,71,208.664712,2020/10/30 16:36:30+00,,,,,,,,,,,,,,,,,,,,,
-78.8227017,42.9509602,0,0,72,207.9609207,2020/10/30 16:36:31+00,,,,,,,,,,,,,,,,,,,,,
-78.82272627,42.95094531,0,0,73,207.1791655,2020/10/30 16:36:33+00,,,,,,,,,,,,,,,,,,,,,
-78.82274933,42.95096996,0,0,74,207.6952519,2020/10/30 16:36:35+00,,,,,,,,,,,,,,,,,,,,,
-78.82277027,42.95098119,0,0,75,207.8868083,2020/10/30 16:36:37+00,,,,,,,,,,,,,,,,,,,,,
-78.82274576,42.95096044,0,0,76,207.6668227,2020/10/30 16:36:40+00,,,,,,,,,,,,,,,,,,,,,
-78.822704,42.95095026,0,0,77,207.6863515,2020/10/30 16:36:42+00,,,,,,,,,,,,,,,,,,,,,
-78.82272322,42.95097514,0,0,78,209.2064624,2020/10/30 16:36:45+00,,,,,,,,,,,,,,,,,,,,,
-78.82274249,42.95099071,0,0,79,208.8928592,2020/10/30 16:36:46+00,,,,,,,,,,,,,,,,,,,,,
-78.82276914,42.95099244,0,0,80,206.8881478,2020/10/30 16:36:48+00,,,,,,,,,,,,,,,,,,,,,
-78.82273566,42.95098095,0,0,81,207.7270478,2020/10/30 16:36:51+00,,,,,,,,,,,,,,,,,,,,,
-78.82270383,42.95096348,0,0,82,208.2644363,2020/10/30 16:36:53+00,,,,,,,,,,,,,,,,,,,,,
-78.82271174,42.95094621,0,0,83,207.7167729,2020/10/30 16:36:55+00,,,,,,,,,,,,,,,,,,,,,
-78.82275581,42.95095875,0,0,84,209.2138326,2020/10/30 16:36:57+00,,,,,,,,,,,,,,,,,,,,,
-78.82278023,42.95096295,0,0,85,208.55532,2020/10/30 16:36:58+00,,,,,,,,,,,,,,,,,,,,,
-78.82275515,42.95097321,0,0,86,208.3663036,2020/10/30 16:37:03+00,,,,,,,,,,,,,,,,,,,,,
-78.82271926,42.95095652,0,0,87,208.124346,2020/10/30 16:37:05+00,,,,,,,,,,,,,,,,,,,,,
-78.82271637,42.95092719,0,0,88,208.4883316,2020/10/30 16:37:07+00,,,,,,,,,,,,,,,,,,,,,
-78.82274891,42.95092098,0,0,89,207.7635749,2020/10/30 16:37:09+00,,,,,,,,,,,,,,,,,,,,,
-78.8227954,42.95093283,0,0,90,207.7812662,2020/10/30 16:37:11+00,,,,,,,,,,,,,,,,,,,,,
-78.82282473,42.95094094,0,0,91,207.2090267,2020/10/30 16:37:13+00,,,,,,,,,,,,,,,,,,,,,
-78.82281489,42.95092371,0,0,92,206.9154855,2020/10/30 16:37:16+00,,,,,,,,,,,,,,,,,,,,,
-78.82277644,42.95091245,0,0,93,207.2146822,2020/10/30 16:37:18+00,,,,,,,,,,,,,,,,,,,,,
-78.82274861,42.95091396,0,0,94,208.4388529,2020/10/30 16:37:20+00,,,,,,,,,,,,,,,,,,,,,
-78.82277403,42.95093026,0,0,95,208.2082148,2020/10/30 16:37:22+00,,,,,,,,,,,,,,,,,,,,,
-78.82279309,42.95090446,0,0,96,207.2595116,2020/10/30 16:37:25+00,,,,,,,,,,,,,,,,,,,,,
-78.82276988,42.95089391,0,0,97,207.5744044,2020/10/30 16:37:28+00,,,,,,,,,,,,,,,,,,,,,
-78.82279714,42.95089997,0,0,98,207.7338223,2020/10/30 16:37:33+00,,,,,,,,,,,,,,,,,,,,,
-78.822821,42.95090752,0,0,99,207.884482,2020/10/30 16:37:35+00,,,,,,,,,,,,,,,,,,,,,
-78.82281081,42.95088285,0,0,100,208.25133,2020/10/30 16:37:38+00,,,,,,,,,,,,,,,,,,,,,
-78.82277725,42.95087463,0,0,101,207.3568596,2020/10/30 16:37:40+00,,,,,,,,,,,,,,,,,,,,,
-78.82280315,42.95090026,0,0,102,206.6920408,2020/10/30 16:37:43+00,,,,,,,,,,,,,,,,,,,,,
-78.82282793,42.95090005,0,0,103,206.9496072,2020/10/30 16:37:45+00,,,,,,,,,,,,,,,,,,,,,
-78.82282861,42.95087716,0,0,104,207.9530468,2020/10/30 16:37:47+00,,,,,,,,,,,,,,,,,,,,,
-78.82279857,42.95086853,0,0,105,207.1571369,2020/10/30 16:37:49+00,,,,,,,,,,,,,,,,,,,,,
-78.82277935,42.95085043,0,0,106,207.1204951,2020/10/30 16:37:50+00,,,,,,,,,,,,,,,,,,,,,
-78.82279197,42.95083004,0,0,107,208.7015168,2020/10/30 16:37:52+00,,,,,,,,,,,,,,,,,,,,,
-78.82281583,42.95084531,0,0,108,208.0010552,2020/10/30 16:37:53+00,,,,,,,,,,,,,,,,,,,,,
-78.82284052,42.95085871,0,0,109,208.0439081,2020/10/30 16:37:54+00,,,,,,,,,,,,,,,,,,,,,
-78.82286426,42.95087198,0,0,110,208.2505235,2020/10/30 16:37:55+00,,,,,,,,,,,,,,,,,,,,,
-78.82283144,42.95088423,0,0,111,206.7201052,2020/10/30 16:37:59+00,,,,,,,,,,,,,,,,,,,,,
-78.82279788,42.95085293,0,0,112,206.8951899,2020/10/30 16:38:01+00,,,,,,,,,,,,,,,,,,,,,
-78.82280636,42.95082757,0,0,113,206.5490354,2020/10/30 16:38:02+00,,,,,,,,,,,,,,,,,,,,,
-78.82283123,42.95080873,0,0,114,207.4447194,2020/10/30 16:38:04+00,,,,,,,,,,,,,,,,,,,,,
-78.82285586,42.95079304,0,0,115,208.5737839,2020/10/30 16:38:06+00,,,,,,,,,,,,,,,,,,,,,
-78.82287449,42.95078058,0,0,116,207.8684509,2020/10/30 16:38:08+00,,,,,,,,,,,,,,,,,,,,,
-78.82290921,42.9507634,0,0,117,207.3702338,2020/10/30 16:38:10+00,,,,,,,,,,,,,,,,,,,,,
-78.82294238,42.95075927,0,0,118,207.7599705,2020/10/30 16:38:13+00,,,,,,,,,,,,,,,,,,,,,
-78.82291076,42.95077194,0,0,119,207.0508735,2020/10/30 16:38:18+00,,,,,,,,,,,,,,,,,,,,,
-78.82291732,42.95079018,0,0,120,208.3089489,2020/10/30 16:38:21+00,,,,,,,,,,,,,,,,,,,,,
-78.82294304,42.95078674,0,0,121,208.0172818,2020/10/30 16:38:22+00,,,,,,,,,,,,,,,,,,,,,
-78.82296821,42.95077019,0,0,122,208.1582339,2020/10/30 16:38:24+00,,,,,,,,,,,,,,,,,,,,,
-78.82294622,42.95078211,0,0,123,208.4102816,2020/10/30 16:38:29+00,,,,,,,,,,,,,,,,,,,,,
-78.82291028,42.95077434,0,0,124,207.5480231,2020/10/30 16:38:31+00,,,,,,,,,,,,,,,,,,,,,
-78.82291764,42.95075069,0,0,125,207.0339892,2020/10/30 16:38:33+00,,,,,,,,,,,,,,,,,,,,,
-78.8229263,42.95077609,0,0,126,208.2349338,2020/10/30 16:38:38+00,,,,,,,,,,,,,,,,,,,,,
-78.82290665,42.9507871,0,0,127,208.0903753,2020/10/30 16:38:40+00,,,,,,,,,,,,,,,,,,,,,
-78.82290517,42.95076411,0,0,128,207.6140223,2020/10/30 16:38:42+00,,,,,,,,,,,,,,,,,,,,,
-78.82291874,42.95073752,0,0,129,207.9043242,2020/10/30 16:38:44+00,,,,,,,,,,,,,,,,,,,,,
-78.8228975,42.95072591,0,0,130,207.1577613,2020/10/30 16:38:46+00,,,,,,,,,,,,,,,,,,,,,
-78.82287326,42.95073648,0,0,131,207.4183909,2020/10/30 16:38:48+00,,,,,,,,,,,,,,,,,,,,,
-78.82290957,42.95074429,0,0,132,207.9339251,2020/10/30 16:38:52+00,,,,,,,,,,,,,,,,,,,,,
-78.82288039,42.9507191,0,0,133,208.2172773,2020/10/30 16:38:56+00,,,,,,,,,,,,,,,,,,,,,
-78.82284874,42.95070919,0,0,134,207.5193215,2020/10/30 16:38:58+00,,,,,,,,,,,,,,,,,,,,,
-78.82282043,42.95070485,0,0,135,207.3913357,2020/10/30 16:38:59+00,,,,,,,,,,,,,,,,,,,,,
-78.82279053,42.95068984,0,0,136,206.675882,2020/10/30 16:39:00+00,,,,,,,,,,,,,,,,,,,,,
-78.82275855,42.9506756,0,0,137,206.8925076,2020/10/30 16:39:01+00,,,,,,,,,,,,,,,,,,,,,
-78.82272906,42.95066036,0,0,138,208.3193126,2020/10/30 16:39:02+00,,,,,,,,,,,,,,,,,,,,,
-78.82273375,42.95069709,0,0,139,209.072246,2020/10/30 16:39:05+00,,,,,,,,,,,,,,,,,,,,,
-78.82275068,42.95072189,0,0,140,208.4948147,2020/10/30 16:39:06+00,,,,,,,,,,,,,,,,,,,,,
-78.82274905,42.95075471,0,0,141,207.8410961,2020/10/30 16:39:08+00,,,,,,,,,,,,,,,,,,,,,
-78.82274301,42.95078424,0,0,142,207.7572567,2020/10/30 16:39:09+00,,,,,,,,,,,,,,,,,,,,,
-78.82274663,42.95080336,0,0,143,208.1550729,2020/10/30 16:39:10+00,,,,,,,,,,,,,,,,,,,,,
-78.82273529,42.95082767,0,0,144,208.308911,2020/10/30 16:39:11+00,,,,,,,,,,,,,,,,,,,,,
-78.82272635,42.95084829,0,0,145,208.8785719,2020/10/30 16:39:12+00,,,,,,,,,,,,,,,,,,,,,
-78.82271912,42.95086684,0,0,146,208.8013857,2020/10/30 16:39:13+00,,,,,,,,,,,,,,,,,,,,,
