reclat,reclon,track_fid,track_seg_id,track_seg_point_id,ele,time,course,speed,magvar,geoidheight,name,cmt,desc,src,url,urlname,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
-78.82572561,42.95124228,0,0,52,174,2020/10/30 13:25:04+00,,1.65,,,,,,,,,,,,14,,,,,
-78.82571028,42.95125427,0,0,53,174,2020/10/30 13:25:05+00,,1.51,,,,,,,,,,,,14,,,,,
-78.82569734,42.95126371,0,0,54,173,2020/10/30 13:25:06+00,,1.15,,,,,,,,,,,,13,,,,,
-78.82568547,42.95127114,0,0,55,172,2020/10/30 13:25:07+00,,1.14,,,,,,,,,,,,13,,,,,
-78.82567022,42.95128196,0,0,56,171,2020/10/30 13:25:08+00,,1.79,,,,,,,,,,,,13,,,,,
-78.82565236,42.95129439,0,0,57,171,2020/10/30 13:25:09+00,,1.72,,,,,,,,,,,,14,,,,,
-78.82564063,42.95130308,0,0,58,170,2020/10/30 13:25:10+00,,0.91,,,,,,,,,,,,14,,,,,
-78.8256324,42.95131069,0,0,59,169,2020/10/30 13:25:11+00,,1,,,,,,,,,,,,14,,,,,
-78.82562558,42.9513207,0,0,60,169,2020/10/30 13:25:12+00,,1.33,,,,,,,,,,,,14,,,,,
-78.8256201,42.95132991,0,0,61,168,2020/10/30 13:25:13+00,,0.87,,,,,,,,,,,,14,,,,,
-78.82561724,42.95133322,0,0,62,168,2020/10/30 13:25:14+00,,0.23,,,,,,,,,,,,14,,,,,
-78.82560996,42.9513318,0,0,63,168,2020/10/30 13:25:15+00,,0,,,,,,,,,,,,14,,,,,
-78.82559761,42.95133286,0,0,64,168,2020/10/30 13:25:16+00,,0.74,,,,,,,,,,,,14,,,,,
-78.82558295,42.9513347,0,0,65,168,2020/10/30 13:25:17+00,,0.99,,,,,,,,,,,,14,,,,,
-78.82556743,42.95133694,0,0,66,168,2020/10/30 13:25:18+00,,0.96,,,,,,,,,,,,14,,,,,
-78.82555484,42.95134369,0,0,67,169,2020/10/30 13:25:19+00,,1.01,,,,,,,,,,,,14,,,,,
-78.82554948,42.95135163,0,0,68,169,2020/10/30 13:25:20+00,,0.58,,,,,,,,,,,,14,,,,,
-78.82554745,42.9513564,0,0,69,169,2020/10/30 13:25:21+00,,0.3,,,,,,,,,,,,14,,,,,
-78.82554392,42.95136258,0,0,70,169,2020/10/30 13:25:22+00,,0,,,,,,,,,,,,14,,,,,
-78.82554023,42.95136559,0,0,71,169,2020/10/30 13:25:23+00,,0,,,,,,,,,,,,14,,,,,
-78.82553876,42.95136807,0,0,72,169,2020/10/30 13:25:24+00,,0,,,,,,,,,,,,14,,,,,
-78.82553717,42.95136912,0,0,73,169,2020/10/30 13:25:25+00,,0,,,,,,,,,,,,14,,,,,
-78.8255358,42.95136972,0,0,74,169,2020/10/30 13:25:26+00,,0,,,,,,,,,,,,14,,,,,
-78.8255325,42.95137228,0,0,75,170,2020/10/30 13:25:27+00,,0.36,,,,,,,,,,,,15,,,,,
-78.82552839,42.95137479,0,0,76,170,2020/10/30 13:25:28+00,,0,,,,,,,,,,,,12,,,,,
-78.82550918,42.95137887,0,0,77,171,2020/10/30 13:25:29+00,,1.77,,,,,,,,,,,,12,,,,,
-78.82548371,42.95138555,0,0,78,172,2020/10/30 13:25:30+00,,1.34,,,,,,,,,,,,12,,,,,
-78.82546735,42.95139108,0,0,79,172,2020/10/30 13:25:31+00,,0.4,,,,,,,,,,,,13,,,,,
-78.82544822,42.95139868,0,0,80,171,2020/10/30 13:25:32+00,,1.54,,,,,,,,,,,,14,,,,,
-78.82542341,42.95141186,0,0,81,171,2020/10/30 13:25:33+00,,1.9,,,,,,,,,,,,13,,,,,
-78.82540218,42.95142733,0,0,82,172,2020/10/30 13:25:34+00,,1.75,,,,,,,,,,,,13,,,,,
-78.82538426,42.9514441,0,0,83,173,2020/10/30 13:25:35+00,,1.7,,,,,,,,,,,,13,,,,,
-78.82536786,42.95146045,0,0,84,173,2020/10/30 13:25:36+00,,1.56,,,,,,,,,,,,13,,,,,
-78.82534937,42.95147582,0,0,85,174,2020/10/30 13:25:37+00,,1.88,,,,,,,,,,,,13,,,,,
-78.82533417,42.95149103,0,0,86,173,2020/10/30 13:25:38+00,,1.46,,,,,,,,,,,,13,,,,,
-78.82532101,42.95150653,0,0,87,172,2020/10/30 13:25:39+00,,1.69,,,,,,,,,,,,13,,,,,
-78.82531085,42.95151898,0,0,88,172,2020/10/30 13:25:40+00,,1.2,,,,,,,,,,,,13,,,,,
-78.8253037,42.95153008,0,0,89,172,2020/10/30 13:25:41+00,,1.09,,,,,,,,,,,,13,,,,,
-78.82529904,42.95153865,0,0,90,172,2020/10/30 13:25:42+00,,0.78,,,,,,,,,,,,13,,,,,
-78.82528801,42.95155112,0,0,91,172,2020/10/30 13:25:43+00,,1.6,,,,,,,,,,,,13,,,,,
-78.82527477,42.95156505,0,0,92,171,2020/10/30 13:25:44+00,,1.34,,,,,,,,,,,,13,,,,,
-78.82525489,42.95157859,0,0,93,172,2020/10/30 13:25:45+00,,1.91,,,,,,,,,,,,13,,,,,
-78.82523639,42.95158956,0,0,94,172,2020/10/30 13:25:46+00,,0.94,,,,,,,,,,,,12,,,,,
-78.82521926,42.95159863,0,0,95,172,2020/10/30 13:25:47+00,,1.22,,,,,,,,,,,,12,,,,,
-78.82520146,42.95161042,0,0,96,173,2020/10/30 13:25:48+00,,1.22,,,,,,,,,,,,12,,,,,
-78.82518531,42.95162032,0,0,97,172,2020/10/30 13:25:49+00,,1.07,,,,,,,,,,,,12,,,,,
-78.82516736,42.95163455,0,0,98,173,2020/10/30 13:25:50+00,,1.57,,,,,,,,,,,,12,,,,,
-78.82515036,42.95165074,0,0,99,172,2020/10/30 13:25:51+00,,1.24,,,,,,,,,,,,13,,,,,
-78.82513466,42.95166507,0,0,100,173,2020/10/30 13:25:52+00,,1.52,,,,,,,,,,,,13,,,,,
-78.82512056,42.95167956,0,0,101,173,2020/10/30 13:25:53+00,,1.2,,,,,,,,,,,,13,,,,,
-78.82510906,42.95169038,0,0,102,172,2020/10/30 13:25:54+00,,0.92,,,,,,,,,,,,13,,,,,
-78.8251013,42.95170008,0,0,103,173,2020/10/30 13:25:55+00,,0.57,,,,,,,,,,,,13,,,,,
-78.82509721,42.95170935,0,0,104,173,2020/10/30 13:25:56+00,,0.58,,,,,,,,,,,,14,,,,,
-78.82508591,42.95172189,0,0,105,173,2020/10/30 13:25:57+00,,1.43,,,,,,,,,,,,14,,,,,
-78.82506235,42.95173467,0,0,106,172,2020/10/30 13:25:58+00,,2.06,,,,,,,,,,,,14,,,,,
-78.8250389,42.95174682,0,0,107,172,2020/10/30 13:25:59+00,,1.64,,,,,,,,,,,,14,,,,,
-78.82502559,42.95175547,0,0,108,172,2020/10/30 13:26:00+00,,0,,,,,,,,,,,,13,,,,,
-78.8250147,42.95176206,0,0,109,173,2020/10/30 13:26:01+00,,0.98,,,,,,,,,,,,13,,,,,
-78.8249992,42.95176775,0,0,110,172,2020/10/30 13:26:02+00,,1.09,,,,,,,,,,,,13,,,,,
-78.82498193,42.95177274,0,0,111,173,2020/10/30 13:26:03+00,,1.47,,,,,,,,,,,,13,,,,,
-78.82496941,42.95177749,0,0,112,175,2020/10/30 13:26:04+00,,1.05,,,,,,,,,,,,13,,,,,
-78.82495823,42.9517833,0,0,113,174,2020/10/30 13:26:05+00,,1.14,,,,,,,,,,,,13,,,,,
-78.82495144,42.95179167,0,0,114,175,2020/10/30 13:26:06+00,,1.16,,,,,,,,,,,,13,,,,,
-78.8249406,42.95180193,0,0,115,175,2020/10/30 13:26:07+00,,1.7,,,,,,,,,,,,13,,,,,
-78.82492603,42.95181374,0,0,116,175,2020/10/30 13:26:08+00,,1.72,,,,,,,,,,,,13,,,,,
-78.82490756,42.95182437,0,0,117,175,2020/10/30 13:26:09+00,,1.53,,,,,,,,,,,,12,,,,,
-78.82489003,42.95183467,0,0,118,175,2020/10/30 13:26:10+00,,1.55,,,,,,,,,,,,12,,,,,
-78.82487884,42.95184511,0,0,119,175,2020/10/30 13:26:11+00,,1.35,,,,,,,,,,,,12,,,,,
-78.824871,42.95185527,0,0,120,176,2020/10/30 13:26:12+00,,1.49,,,,,,,,,,,,12,,,,,
-78.82486052,42.95186811,0,0,121,175,2020/10/30 13:26:13+00,,1.93,,,,,,,,,,,,12,,,,,
